,US Customer Name,US Review title,US Ratings,Reviews
10,Andrew G,"So much potential, but my experience hasn't been worth the price..",1.0 out of 5 stars,"  Let me first say, I love this bottle. It's fantastic, I love almost everything about it. However.... When I received it, it was scratched on the back and it doesn't look super pretty with a nasty scratch down the back, and for twenty-five dollars, I was really surprised they'd let something like this get out, however, there is also a problem with the rubber lid. Not the one that seals the bottle but the extra lid that contains the paper slips, it continually falls out. Overall, fairly disappointed in this bottle. If I hadn't gotten a scratched one and the rubber thing stayed in, I would be much much much more in love with it.Update: It just broke. I didn't even have it a ear and the hinge just snapped off... very unhappy."
11,Lisame,"Awesome waterbottle, AWFUL Quality",1.0 out of 5 stars,"  I bought this water bottle last week because it looked awesome and looked easy to drink out of (I am a passionate weightlifter who needs a lot of water throughout the day).  My first impressions of this water bottle were great.  The packaging was nice, the water bottle looked nice, and it was easy to fill up and drink out of.  However, as soon as I brought it outside my house it fell out of my water bottle holder in my backpack and hit the ground.  Mind you this is only about a 3 foot fall, and the water bottle was only about 1/5 full.  It cracked in not one, not two, but THREE different places. It leaks everywhere when trying to drink out of it now, and it's useless.I have had many cheap water bottles before, and they all suffered the same fall that this one did.  They are all in completely perfect condition from over 2 years of use, and this one couldn't even last a day.Awesome concept for a water bottle, but absolutely horrible construction."
12,Marco,Very cool design - Not easy to clean,5.0 out of 5 stars,"  When I received the bottle I just loved it. It is incredibly big and very good looking, with a few issues.Pros:-Water tight seal-The bottom rubber ring is great to hold it in place on any surface-The phrases are a nice touch-The bottle as a whole is very well made with no apparent defects whatsoever-Holds a good amount of waterCons:-Been tranparent it will attract scratches, but all clear plastics are like that-When you close it you get the feeling it just isn't tight enough. It is more of a psychological thing.-It is difficult to clean if you fill it with natural juices like homemade OJ. It would stick to the walls, making it difficult to clean, specially with a spoonge to avoid scratches and the size doesn't help either.-Don't leave it with any liquid for too long, been made out of plastic, it will retain flavors and odors.All in all, it is a design statement and a nice bottle. It is too big to carry around, unless you have a backpack of sorts or plan to keep in your car, gym or whatever, just don't drop it as this crystal clear plastics scratch or brake if they hit concrete like on a sidewalk.I like it and will order the set that includes all the colors."
13,Tony,Average to Below Average,2.0 out of 5 stars,"  I enjoyed this bottle for a short time. It looked very trendy. Made me feel as though I was helping clean the world. Idk. It isn’t very durable. If dropped, the lid is very fragile and did not survive most times. Once the lid is cracked or damaged a certain way, you can’t close the lid anymore. I did like the large opening. I opted to purchase many S’well bottles since."
14,Amazon Customer,Just okay,3.0 out of 5 stars,"  I like the mouth opening. It's an ideal size and doesn't get water all over the place when you're walking or doing some kind of activity.  It doesn't leak.  It's easy to keep clean.  The downside of this product is its shape: it's elliptical and doesn't fit it most conventional cup holders.  It's a no-go for the gym and I have to put it in the map pocket in my car door because it doesn't fit into the cup holders in my car.  Also, unless you have big hands, drinking from this bottle is a two-handed operation.  Overall I like this water bottle, but the shape and size are drawbacks.  I would like to see a similar product with the same mouthpiece but in a standard shape/size."
15,Caroline,Love the color & the motivational quotes!,5.0 out of 5 stars,  I really love this water bottle. The color is so intense and pretty. I am really pleased with the quality of the product and that it is 750 MlThe bottle is BPA free and also very convenient to use. I had never seen a water bottle with a motivational cap so I thought that was a plus! Its definitely a unique product.
16,Julian,Beautiful form but terribly weak design. Recommend not to get.,2.0 out of 5 stars,"  No doubt this bottle looks good and feels good to use. Unfortunately the bottle has a fatal flaw; a weak hinge design. My first one broke completely at the hinge from a one-time fall of around 40-50cm in height. Ok fine....user fault. So I went to purchase the same bottle. However, a crack developed at the hinge area barely after 6 months of normal use. The bottle was never dropped at all. Seems like this is a common complaint for this bottle.  Expensive product and totally not worth it!ProsBeautiful formBPA free""Perfect spout"" feels goodConsPricey productWater gets into the grooves and joint during washing, which might mislead you to think its leaking if not dried for some while.Weak hinge which will crack easily even with normal useDoes not fit into cup holder"
17,Laura Henri,Futuristic,5.0 out of 5 stars,"  Edit. almost one year later, and this bottle has failed to stand up to the test of time. It leaks, the seal is for naught, the top is wobbly and doesnt click closed correctly.I purchased this water bottle for my Fiance, because the one he had was bulky and it leaked. Plus this one just looked super cool, and because he is super cool, it fit.It really does look like no other water bottle out there, and the design isn't just all fluff and edges, it actually functions quite well.I love that you can choose the colors, that it has a nice handle. It has a good weight to it even when filled. The wide opening is convenient for when you might want to drop some ice cubes in there, and also its easier to get some big gulps when you are very thirsty. I like the way it opens and closes with one click, and there is no leakage at all.It says you can put it in the dishwasher but we are choosing to hand wash it to make the seals last longer.Now I want one for myself!"
18,Andrew Savage,The Latch Failed in my Backpack After 4 Months and Ruined My Laptop,1.0 out of 5 stars,"  I bought a KOR ONE about 4 months ago for my girlfriend. My goal was to get her an ""over-engineered"" water bottle because I love it when people over-engineer simple things, like water bottles. She absolutely loved it and all her friends at college were constantly asking her where she bought it/ what brand of water bottle it was.This is where the good ends and the bad begins.After 3 months the latch to close the bottle began failing randomly when carrying the bottle from the handle. Eventually, while the bottle was in her backpack the latch failed completely, the bottle opened and all of her notebooks and laptop was completely ruined.Yes the design is cool, yes it's unique and has some desirable features HOWEVER the latch doesn't work! Allow me to repeat: the most important part of any water bottle - the part that prevents the water in your bottle from destroying everything around it - isn't engineered well and WILL FAIL OVER TIME. It only took 4 months...."
19,Mark,"Overpriced, overmarketed, but still using it.",2.0 out of 5 stars,"  I've waited almost two years to write this review. I bought this item in July, 2010.I'm one of those guys who gets suckered into the newest, hippest, coolest thing going. And Kor One's marketing scheme got me too.This is an overstylized, overpriced water bottle, plain and simple.Pros1. Holds a lot of water2. People ask about itCons1. Costs a lot for what you get2. The rubber ring seal tends to become black rather quickly (very hard to clean, even with alcohol wipes/chemicals). You have to order replacements from the website ($1), it took approximately 4 weeks to receive one after ordering online. (simple envelope with a stamp).3. Clumsy, easy to tip over4. Awkward size, It's pretty tall, it can fall out sometimes of bags with not enough nylon elastic.5. The clear blue plastic easily gets scratched and doesn't look very nice.6. Difficult to clean7.Verdict - Would NOT buy again. But will still use it until it breaks down."
20,Darla,Beautiful design makes this,4.0 out of 5 stars,  I was under the impression this was glass but it is plastic. That was my mistake not reading the description but in actuality in glass this would have been too heavy. Beautiful  in design but it was a little challenging to get the Open. Actually it was quite frustrating. I had to go online to their website and see how to open this. Now  that I am aware of how to use this I do like it and I do like the feel on your lips. The rounded edges do you feel better then rigged ones that were used to. A little pricey  but I do like overall.
21,kat,looks as great as it leaks,2.0 out of 5 stars,"  I was really excited about this water bottle because the color is so pretty and it's a great shape, but it leaked from the top the first time I used it. After using it just three times, the top became loose from the latch, and the base of the bottle (I hand-washed it each time and never dropped it). It was super leaky which was disappointing.. function over fashion for me, peeps."
22,CK,"Looks awesome, but is NOT practical",3.0 out of 5 stars,"  I have had 3 of the these water bottles. I really liked them in the beginning, because they look so nice. However, the bottle isn't practical for everyday use. The rubber ring around the top of one of my bottles got distorted, and stopped sealing the water. This caused my water to leak all over the place (I know the Kor website does sell replacement rings for a dollar or so). Also, one of mine broke, since it slipped out of my bag and fell to the ground. Let me just tell you that once your bottle hits the ground or falls, it will be broken or ruined from then on. I know we shouldn't be dropping our water bottles, but accidents happen. I didn't like having to worry about making sure my water bottle was safe. I ended up getting a Nalgene bottle, which is super sturdy and leak proof. PLUS, it is more than 1/2 the price of this water bottle. If you are looking for a bottle for everyday, this one might not be that great. However, if you just want a bottle to drink around the house, this could work. It IS pretty.."
23,Karrie,Leaked,2.0 out of 5 stars,"  I really wanted to like this water bottle.  It is quite large, with the ""handle"" on the top.  I could live with that.  However it seemed to be difficult to open and close.  I thought I could live with that.  Then it leaked all over my bag, cannot live with that. It was definitely closed properly when it leaked.  I expected more from a $25 water bottle."
24,V,HOLDS A TON - WELL DESIGNED!,5.0 out of 5 stars,"  very nice product. i love that they hold tons of water - i ordered other water bottles that were also nicely designed, but i do an hour-long spin class and the others didn't hold as much water as these do. my spin bike at this new gym is designed for laying bottles into the holders so it doesn't matter what size. but these are a weird not-round shape and might not fit into all bike and car bottle holders, so ask the company about that. I could do without the little inspirational saying on the lid, it looks cheap. Otherwise, a nice wide mouth to sip out of, doesn't taste plasticy."
25,networkguru,"Great if you're only using water.... If not, not so great...",3.0 out of 5 stars,"  Unfortunately one of these was used for fruit juice...You know where I'm going.In the back of a car, left for a day, it grew a colony.Since there is no way to disassemble the flask, it is almost impossible to completely clean. After three cycles through the dishwasher, and then a good day soak in a mild bleach solution, there was still a hint of black mold in what appears to be some kind of tiny gap or seam at the top of the bottle where it narrows down for the neck.No amount of brushing, pipe cleaning or anything else could shift it.Sadly it is on the way to a better place. I think a glass equivalent might be a better option. I'm eyeing up something like this 

Takeya Modern Glass Water Bottle with Silicone Sleeve, Ice Blue, 18-Ounce

  .Stay hydrated this summer !"
26,Therabbitssing,Beautiful but pricey,4.0 out of 5 stars,"  It's a beautiful water bottle.  There is nothing that looks like it.  Yes, it's the water bottle Tony Stark had in 'Iron Man 2'.  For looks, it's a solid 5.  But it's quite expensive for a bpa free plastic bottle.  There is a wide mouth that almost accommodates a normal size ice cube but does not.  You will still need to use fridge made ones or ice sticks and not ice cube trays.  The ""core stones"" are an insult.  While I thought they might be cool, they are nothing but very thin prices of paper! The idea was great, but could they be at least be plastic chips or something? Ignore the stones or make your own out of paper.  Same deal.  The bottle itself is very nice though."
27,D. R. Brown,Best Water-bottle I've Used To Date,5.0 out of 5 stars,"  Mid January, I got back into going to the gym & got into the afternoon aerobics classes at the Y. I quickly learned that my tiny little water-bottle wasn't going to cut it for a 45 minute Zumba class. I purchased a larger bottle that had decent reviews, but the lip of the thing was weird & I ended up with more water on my shirt, than my in my mouth. When I finally found this water-bottle, I'd found perfection! This thing doesn't leak (so I'm not worried about it rolling around in my car & in my bag on the way to the gym), the mouth of the bottle is comfortable, the handle makes it comfortable to carry, & the rubber bottom keeps the bottle sitting upright & from slipping when I place it on my yoga mat. I'm glad I purchased this item!"
28,Jodi Goodsell,Good for room temp water drinkers...,3.0 out of 5 stars,"  Beautiful for sure and arrived very quickly but I gave this away and opted for the Thermos Tritan instead.  The spout on the KOR ONE is larger than the Intak or Tritan spout but is a catch 22.  There is only the drinking spout, you can't open the vessel for cleaning or for adding large cubes of ice and the spout is only big enough to get small cubes from bagged ice or the ice maker in to the bottle.  This makes them melt so quickly that I found it uncomfortable to sift them out with my teeth.  May be a great fit for some but not for me."
29,N. P.,"Pretty, yet not very practical",2.0 out of 5 stars,"  I have to start by saying that my water bottle gets more compliments than I have in a lifetime! Everyone who sees me with it LOVES it.It does not fit in a cup holder, so when I took it to the cubs game, I couldn't put it in the holder, or in a car, or anywhere else where you can find a cup holder.It's difficult to drink out of it when you're in a moving bus/train, and since this is my daily commute, it sucks having to always wait until we're at a full stop to drink.I usually put fridge water in it, but I don't mind water that's room temperature, so I continue to drink it throughout the day, and you get that ""plastic smell"" when the water is no longer cold.I can easily drink from it with one hand. I can use my thumb to press the button to flip the top open and drink, and that's nice when I have stuff in my other hand. It's a bit large and requires me to carry a decent sized purse ...but I ALWAYS need water, so I guess this is a good thing.Update: I recently dropped it as I was coming out of my sister's car ...about a 2 foot drop. It's fine, except that it now leaks water when it sits on it's side. I would expect a little more durability from a $35 water bottle!!!"
30,Gianna,I like it because - it is BPA free - it ...,5.0 out of 5 stars,"  I bought this bottle (ice blue color) to drink water in my office.I researched a lot and i bought this bottle. I have been using it for a month and my conclusions are:I like it because- it is BPA free- it has the most stylish design- it has a big opening and i enjoy drinking from it (not like other bottles with small opening)- it has a handle, when i was researching about what to buy i thought that was superfluous, but i actually use it and it is usefulI didn't care about the stickers, i threw them awaythe only thing i don't like is that i wish it was 1000 ml because i drink a lot of water. but i decided to buy soon another one in cobalt blue.Happy with my choice, will buy again"
31,Steven,"Product Placement, & just good water.",4.0 out of 5 stars,"  Ok, so it's a bottle and it holds water, simple thing that you can get anywhere. Well, maybe not anywhere, I looked this bottle up because I saw it in a movie and wanted to see how much it was. The movie was Iron Man 2 and it was Robert Downey Jr.'s bottle in that movie, (shameless product placement, but it actually worked on me.)As for the bottle itself it does what was designed to, hold water. The lid/cap that folds all the way back flush with the bottle's side is great. The shape of the bottle is nice to hold and the rubber ring on the bottom is helpful in keeping the bottle from slipping all over.I like the bottle but I don't like the price $20 plus for a bottle, is kinda ridiculous. Not to mention that the bottle does come with little round message stones that reveal a message when you look under the cap/lid. In reality they are just pieces of card-stock paper(or FiberStone® paper, according to the website) with a design on them. The fact that I got 3 of them for free with my bottle was good, but these ""stones"" are about $2 for a set of 4 and then you get to pay shipping too. My suggestion is outline the stones that come with the bottle & make your own.The bottle does sweat when brought out from cold fridge to room temp or hot day, but I don't know many bottles that don't sweat, so no big deal there. To me water is water unless you are trying to drink hot water, The bottle is great for taking to school and use during classes. Fits in my shoulder bag just fine.I only gave 4 stars because I think paying $20 plus for a water bottle is ridiculous, I know, I paid that much but I had a gift card that was going to expire so I grabbed the first thing that I wanted. Overall I'm happy with the buy, & speed of delivery, was very fast. This is a good product, if only too expensive. Do check to see what size you are buying because there are different sizes and they vary in price."
32,Jenascia,Beautiful water bottle,5.0 out of 5 stars,  Got 3 compliments on it the first day I brought it to work. Makes me want to drink more water. Was able to put a cute quote in the lid also. Handle is... wait for it... HANDY! There is a very hard plastic feel to the components so I am nervous about it breaking easily but I'll keep my fingers crossed. Will update review if it breaks.
33,sjw,I Am So Cool with This Bottle . . .,5.0 out of 5 stars,"  It really is stylish and eye-catching.  I use it at work and people are always asking where they can buy one.  I like it because when I go to a meeting, I can lay it down on its side instead of have it sticking up tallways and blocking people's view.  It does not leak when laying down, upside down or anything.  Very easy to carry around.  Also like the drinking opening and the cover does not crash into your mouth -- it stays open while you are drinking, then closes very securely shut.  I have the blue one; I have seen also pink and orange -- all super cool.  As with all my stylish accessories, I don't toss them around, so I don't expect mine to break.  Be a little careful -- it isn't a basketball, but it isn't a baby either.  Normal use and I expect it to last forever."
34,Jenny Hornes,I made the KOR-ect choice (:,5.0 out of 5 stars,"  By the photo and description, I thought that the bottle would be small so I was a little hesitant but it was the cheapest bottle that looked durable and it had so many great reviews, so I figured that I would give it a shot. Boy, am I ever glad I did. the bottle is PERFECT. it doesn't leak, it holds a lot of water (which is important to water drinkers like myself!) and it's really a very attractive bottle! I love that it has a little handle on the top and an inspiration ""stone"" on the lid when you open it. On the more functional side, it has a sturdy button release on the top, and it seal by the little rubber around the stone which makes it completely leak-proof (which, until now I thought I would NEVER find) and the opening is literally JUST the right size to fit in ice cubes. I would say my only complaint is that the oval shape doesn't allow it to fit into my center counsel in my car, but that's really nit-picking."
35,leinani45,"Love, Love, Love!",5.0 out of 5 stars,"  After having MULTIPLE issues with other kinds of water bottles cracking, losing their seal, etc. I decided to try the KOR One. It is AWESOME! I am pretty hard on my water bottles and it has stood up to extreme heat, dropping (multiple times) and just general wear and tear. It is a little big for most cup holders, but most of the time I just set it next to me in my seat and it is fine. I love the rubber seal inside and feel comfortable with leaving it in my bag all day without getting it wet. I also really like the rubber stopper on the bottom. Over all, I am very happy with this water bottle, and would happily purchase another if needed."
36,BWI,Everyone wants one!,1.0 out of 5 stars,"  Got this for one of the consultants who is pregnant to encourage her to drink more water. She loves it. And now everyone wants one. We ended up purchasing several more and so far everyone who has received one totally loves it.*************After a month of us, the hinge on the cap has broken so the bottle doesn't keep suction anymore. We didn't expect a thirty dollar water bottle to break EVER, let alone after a month.We'll order a replacement and see what happens..."
37,lyz,Good but tall and narrow,4.0 out of 5 stars,"  I really like the bottle, but the cap is high and makes the bottle unnecessarily tall in my opinion, taller than most water bottles. This wouldn't bother me if I didn't carry it in the water bottle pouch on the side of my backpack. Since the bottle is so tall and narrow, it falls out of the pouch very easily if I bend over, if I'm running, when I set my backpack down on the floor, or when I'm one-shouldering my backpack... Which for a college student are pretty common activities.If you have a deeper pouch in your backpack then I don't think this should be a problem. The bottle was just taller than I expected and I didn't have this problem with other bottles. I wouldn't have minded if the bottle was a little wider and shorter."
38,Christopher Dowell,Great bottle to replace the disposable water bottle!,5.0 out of 5 stars,"  I bought 2 of these, 1 for me & 1 for my Brother.  We love them!  They are easily hand carried & the video reviews helped alot & were dead on accurate. Every time we go walking or to & from work, these Kor One Vessels go w/ us.  What a great money saver too.  We never have to buy bottled water anymore since we have a filter & this. This is definately the bottle that replaces the disposable water bottle & it's PET free to boot.  It's what I call neo-tech contemporary & also quickly has become a conversational piece w/ the rest of the Family & friends & co-workers. I highly recommend this product to anyone who's into hiking, traveling, college, school, work, yoga, gym, etc.  You'll be happy you bought one."
39,Kazuco Ura,Wide mouth + Full size Ice Cubes = A cool refreshing drink.,4.0 out of 5 stars,"  Love it. Own three for my whole family. The mouth opening is better than most water bottles I've seen, and i can drop in ice cubes, without having to crush them. as for looks... I always get stopped and asked asked what i have in my hand, and when I tell them its a water bottle, where they can get one. the only issue is that the power stone lid on these sometimes is a little lose. I lost it on one of my bottles that way. All in all, a great product."
40,Juan L,Looks great and holds a good amount of water!,4.0 out of 5 stars,"  What can I say? it's a water bottle. Nice design and carries a good amount of water. There are some parts of the bottle that are a little hard to clean well. Mold could potentially develop over time in such areas. Not a deal breaker though. Other than this, it works well!"
41,Luis Fernando,A waste of $30! Breaks so easily!!,1.0 out of 5 stars,"  Okay, so I bought this bottle literally about a week ago. I really loved the design and concept of the bottle and just fell in love with it. The first week I had, it was great. Its a big, easy to clean bottle that gets the job done. I always get compliments on it too. But about a week after I got it, I was in the library studying and I accidentally dropped the bottle of the desk and the bottle latch cracked! Now the desk wasn't that high off the table and the floor was carpeted, so tell me how this bottle still cracked! This is ridiculous, I would see how if I dropped the bottle onto concrete, or from somewhere really high, but this was just your standard desk in a library! How can they charge such a high price for a material so cheap. They say its made from such high quality and that the design was really thought out, but obviously not! This is a MAJOR design flaw! And the worst part is that the limited lifetime warranty will take weeks to get a new one, and I have to pay for the shipping, and they might not even give me a new bottle! That mean's I'll have to pay just to get my broken bottle back if they decide to not cover my bottle! This is absolutely ridiculous. I'm better off just buying a new water bottle and save my money shipping it off hoping that my bottle will be covered. This was such a waste of my money. I HIGHLY recommend that you not buy this water bottle. I am beyond dumfounded by this huge design flaw. A water bottle should be able to withstand a few falls and bumps. I'm am done with this. Done!"
42,JPL,beautifully designed product,5.0 out of 5 stars,"  The Kor One ""Hydration Vessel"" has a pretentious name, but it's a beautifully designed product. Easy to carry. Easy to open. Easy to fill. Big enough for ice cubes. Surprisingly heavy duty so it will last.I love it and has been using it.To clean your bottle in a more effective way, I bought the following product:http://www.amazon.com/gp/product/B00004OCLJ?ie=UTF8&camp=213733&creative=393177&creativeASIN=B00004OCLJ&linkCode=shr&tag=swiclu-20&linkId=DM2ZMZSNWQEZ5XUZCheers!"
43,Pamela schmoock,"Very nice, well made.",5.0 out of 5 stars,"  Carry handle, nice spout that locks down easily. Just like drinking from a water bottle. Love it. Dishwasher safe top rack but I’ve been hand washing it for now."
44,S. Mcgurk,I love the bottle itself,5.0 out of 5 stars,"  I love the bottle itself, it's very cool and it gets a lot of compliments. I had a little issue the ring on the top getting a little bit green but I think if I had just washed it more frequently I could have avoided that issue. I got a new one and I will be washing the seal more often and hopefully that solves the problem. Just make sure you keep it clean and wash it by hand. I saw other reviewers who tried putting it in a dishwasher, it very specifically says not to do that, so that has nothing to do with the product."
45,Travis C,"I really wanted to like this, it looked so cool in the Ironman ...",2.0 out of 5 stars,"  I really wanted to like this, it looked so cool in the Ironman movie, but it is really more trouble than it is worth.  The top does not seal well enough to keep water in if it is inverted and it will drip on you.  Works good uprights, but it it falls over you run a good risk of leakage.  This can be problematic as it is just a bit too big for cup holders in vehicles.  Plus, the latch on the top is not as strong as it should be and only locks down on the first try 50% of the time, and even then allows water to leak.  DO NOT TRY SHAKING THIS, YOU WILL GET WATER/LIQUID EVERYWHERE.  Finally, the bottle has no double wall so anything cold gets condensation on the outside quickly.  I was hoping to carry this as my water bottle in my plane, but it is only functional as something that looks good and not as an actual water bottle.  Not worth the $25."
46,Charleston 2CV6,Looks? YES Functionality? YES,5.0 out of 5 stars,"  UPDATE: Okay, so teh bottle has now been in use for months and is still in great shapes, no damage from a few drops and knock-overs!  So I am pleased and feel like it was worth the money I spent!I bought this a gift for my husband ... he loves the look if it and the fact that Tony Stark had one made it all the more appealing!  The bottle feels very heavy and is very tall with a small footprint for it's height, so I am only waiting for it to get knocked over, and after reading all the other reviews, I am quite certain it will break!  To be clear, it looks truly amazing!  But at $30, a water bottle (by sheer intend of use) should be able to handle a few small bumps and falls!  I am loving the design so far, I will re-post in a few to give an update!"
